repo,contributor_count
popcorn-official/popcorn-desktop,3
chaijs/chai,198
WebGoat/WebGoat,166
shaka-project/shaka-player,312
node-formidable/formidable,103
floccusaddon/floccus,46
arkime/arkime,122
Countly/countly-server,127
ipcjs/bilibili-helper,26
webpack-contrib/sass-loader,110
siteserver/cms,15
parse-community/parse-dashboard,164
openstreetmap/iD,450
SchemaStore/schemastore,2088
holistics/dbml,55
conversejs/converse.js,409
jellyfin/jellyfin-web,2761
pngwn/MDsveX,51
chinchang/web-maker,29
pwndoc/pwndoc,33
alephdata/aleph,78
ever-co/ever-traduora,36
notifme/notifme-sdk,20
microlinkhq/browserless,22
jquery/jquery-color,24
neocities/neocities,48
scaleflex/filerobot-image-editor,30
jitsi/jitsi-meet-electron,73
instea/react-native-popup-menu,32
stylelint/stylelint-config-standard,22
leezng/vue-json-pretty,23
alphagov/govuk-frontend,106
gajus/eslint-plugin-jsdoc,121
iTowns/itowns,61
Lascorbe/CocoaConferences,131
minio/minio-js,110
auth0/auth0.js,122
pmotschmann/Evolve,117
CircuitVerse/CircuitVerse,273
neo4j/neo4j-javascript-driver,65
echo094/decode-js,3
sealninja/react-grid-system,48
flosell/iam-policy-json-to-terraform,14
amondnet/vercel-action,35
mcollina/async-cache-dedupe,32
electron/update.electronjs.org,13
apache/cordova-js,107
orgapp/orgajs,22
nodejs/TSC,75
documentcloud/underscore-contrib,53
dohomi/react-hook-form-mui,53
mue/mue,95
austinksmith/Hamsters.js,10
hassio-addons/addon-node-red,22
erwindon/SaltGUI,20
plone/volto,180
cibernox/ember-power-select,179
brightcove/hot-shots,116
ember-bootstrap/ember-bootstrap,123
kkomelin/isomorphic-dompurify,10
ehmicky/log-process-errors,5
MylesBorins/node-osc,20
TurboWarp/desktop,7
urbica/react-map-gl,22
Consensys/doc.linea,234
xizon/uix-kit,3
gevorg/http-auth,26
mattgodbolt/jsbeeb,30
forensic-architecture/timemap,25
Agoric/agoric-sdk,98
HTTPArchive/httparchive.org,29
OSC/ondemand,121
rlamana/ventus,19
onflow/fcl-js,92
nearst/laconia,25
webpack-contrib/css-minimizer-webpack-plugin,25
data-driven-forms/react-forms,54
WFCD/warframe-items,33
josephdadams/TallyArbiter,53
hms-dbmi/viv,21
zaproxy/action-full-scan,10
noobaa/noobaa-core,66
CommE2E/comm,51
ember-cli/ember-exam,56
elastic/apm-agent-rum-js,65
aws/aws-xray-sdk-node,98
Ezviz-OpenBiz/EZUIKit-JavaScript-npm,14
CloudCannon/bookshop,19
pluginpal/strapi-plugin-config-sync,22
